P (bar),IWR-1 (mol/kg),LTL-2 (mol/kg),MOR-1 (mol/kg),SEW-1 (mol/kg)
0.0001,9.438520712360637e-06,4.0851176907915714e-06,9.611206894497674e-06,1.0209656583302945e-05
0.0005,4.719141077325335e-05,2.042521053671261e-05,4.805381801029117e-05,5.1046865699844125e-05
0.001,9.4379839711459e-05,4.0849476283152e-05,9.610209547779811e-05,0.0001020901884820435
0.01,0.0009432619239126778,0.0004083247032561417,0.0009600248191549466,0.0010202643981391084
0.02,0.001885332827314051,0.0008162715090085849,0.0019178411569071034,0.0020391132215158933
0.03,0.0028262145123486935,0.0012238404389137765,0.0028734571231317806,0.0030565481531440336
0.04,0.0037659087794115584,0.0016310315169058278,0.00382688079068286,0.0040725708837634975
0.05,0.004704417427136185,0.00203784476918257,0.004778120195565093,0.005087183111701292
0.06,0.005641742252381549,0.0024442802241912446,0.005727183337105459,0.006100386542732838
0.07,0.006577885050221866,0.0028503379126135196,0.0066740781781251006,0.007112182889946239
0.08,0.007512847613934486,0.0032560178673521683,0.0076188126451101745,0.008122573873607215
0.09,0.008446631734988302,0.0036613201235161335,0.008561394628382206,0.009131561221025925
0.1,0.009379239203033872,0.0040662447184068315,0.009501831982268043,0.010139146666425227
0.3,0.027787030936756014,0.012085504019790024,0.02787199097110422,0.029999182748491907
0.5,0.045738992224766635,0.019954230316682184,0.04544663646179686,0.04931363607232773
0.7,0.06324894007929278,0.027673215234302957,0.062280267217414996,0.06809761469813412
0.9,0.08033034640023569,0.03524351696559589,0.07842268298829351,0.08636665506003205
1.0,0.08871445818070654,0.03897330669227,0.08624907386465687,0.09531298944217201
2.0,0.1671850426928619,0.07428932006012356,0.15670525847549174,0.17834247172791973
3.0,0.23688701443414456,0.10617501769961264,0.2156811701744714,0.25097635180162914
4.0,0.2990703329887915,0.13491213369499716,0.26604384611549375,0.3148817143976171
5.0,0.3547836275575834,0.16079726866509955,0.3097631011748479,0.3714533958775835
6.0,0.40490431124471477,0.18411996441764356,0.34823451063269123,0.4218359803958005
7.0,0.4501673645128307,0.20515145896540715,0.3824743302929831,0.4669637060226156
8.0,0.49119038592678643,0.2241396946780945,0.4132407620514392,0.5076000131510169
9.0,0.5284945151675609,0.2413079025373677,0.4411117137195615,0.5443714676923943
10.0,0.5625215734007047,0.2568551544010958,0.46653608813689,0.5777953058833764
